Epoch,Error,BestError
1,0.987483,0.249972
2,0.987478,0.249972
3,0.987472,0.249972
4,0.987467,0.249972
5,0.987461,0.249972
6,0.987456,0.249972
7,0.987450,0.249972
8,0.987444,0.249972
9,0.987439,0.249972
10,0.987433,0.249972
11,0.987428,0.249972
12,0.987422,0.249972
13,0.987416,0.249972
14,0.987411,0.249972
15,0.987405,0.249972
16,0.987399,0.249972
17,0.987394,0.249972
18,0.987388,0.249972
19,0.987382,0.249972
20,0.987376,0.249972
21,0.987371,0.249972
22,0.987365,0.249972
23,0.987359,0.249972
24,0.987353,0.249972
25,0.987347,0.249972
26,0.987342,0.249972
27,0.987336,0.249972
28,0.987330,0.249972
29,0.987324,0.249972
30,0.987318,0.249972
31,0.987312,0.249972
32,0.987306,0.249972
33,0.987300,0.249972
34,0.987294,0.249972
35,0.987288,0.249972
36,0.987282,0.249972
37,0.987276,0.249972
38,0.987270,0.249972
39,0.987264,0.249972
40,0.987258,0.249972
41,0.987251,0.249972
42,0.987245,0.249972
43,0.987239,0.249972
44,0.987233,0.249972
45,0.987227,0.249972
46,0.987220,0.249972
47,0.987214,0.249972
48,0.987208,0.249972
49,0.987202,0.249972
50,0.987195,0.249972
51,0.987189,0.249972
52,0.987183,0.249972
53,0.987176,0.249972
54,0.987170,0.249972
55,0.987163,0.249972
56,0.987157,0.249972
57,0.987151,0.249972
58,0.987144,0.249972
59,0.987138,0.249972
60,0.987131,0.249972
61,0.987125,0.249972
62,0.987118,0.249972
63,0.987111,0.249972
64,0.987105,0.249972
65,0.987098,0.249972
66,0.987091,0.249972
67,0.987085,0.249972
68,0.987078,0.249972
69,0.987071,0.249972
70,0.987065,0.249972
71,0.987058,0.249972
72,0.987051,0.249972
73,0.987044,0.249972
74,0.987038,0.249972
75,0.987031,0.249972
76,0.987024,0.249972
77,0.987017,0.249972
78,0.987010,0.249972
79,0.987003,0.249972
80,0.986996,0.249972
81,0.986989,0.249972
82,0.986982,0.249972
83,0.986975,0.249972
84,0.986968,0.249972
85,0.986961,0.249972
86,0.986954,0.249972
87,0.986947,0.249972
88,0.986939,0.249972
89,0.986932,0.249972
90,0.986925,0.249972
91,0.986918,0.249972
92,0.986911,0.249972
93,0.986903,0.249972
94,0.986896,0.249972
95,0.986889,0.249972
96,0.986881,0.249972
97,0.986874,0.249972
98,0.986866,0.249972
99,0.986859,0.249972
100,0.986852,0.249972
101,0.986844,0.249972
102,0.986837,0.249972
103,0.986829,0.249972
104,0.986821,0.249972
105,0.986814,0.249972
106,0.986806,0.249972
107,0.986799,0.249972
108,0.986791,0.249972
109,0.986783,0.249972
110,0.986775,0.249972
111,0.986768,0.249972
112,0.986760,0.249972
113,0.986752,0.249972
114,0.986744,0.249972
115,0.986736,0.249972
116,0.986728,0.249972
117,0.986720,0.249972
118,0.986712,0.249972
119,0.986704,0.249972
120,0.986696,0.249972
121,0.986688,0.249972
122,0.986680,0.249972
123,0.986672,0.249972
124,0.986664,0.249972
125,0.986656,0.249972
126,0.986647,0.249972
127,0.986639,0.249972
128,0.986631,0.249972
129,0.986622,0.249972
130,0.986614,0.249972
131,0.986606,0.249972
132,0.986597,0.249972
133,0.986589,0.249972
134,0.986580,0.249972
135,0.986572,0.249972
136,0.986563,0.249972
137,0.986555,0.249972
138,0.986546,0.249972
139,0.986537,0.249972
140,0.986529,0.249972
141,0.986520,0.249972
142,0.986511,0.249972
143,0.986502,0.249972
144,0.986494,0.249972
145,0.986485,0.249972
146,0.986476,0.249972
147,0.986467,0.249972
148,0.986458,0.249972
149,0.986449,0.249972
150,0.986440,0.249972
151,0.986431,0.249972
152,0.986422,0.249972
153,0.986412,0.249972
154,0.986403,0.249972
155,0.986394,0.249972
156,0.986385,0.249972
157,0.986375,0.249972
158,0.986366,0.249972
159,0.986357,0.249972
160,0.986347,0.249972
161,0.986338,0.249972
162,0.986328,0.249972
163,0.986319,0.249972
164,0.986309,0.249972
165,0.986299,0.249972
166,0.986290,0.249972
167,0.986280,0.249972
168,0.986270,0.249972
169,0.986260,0.249972
170,0.986250,0.249972
171,0.986241,0.249972
172,0.986231,0.249972
173,0.986221,0.249972
174,0.986211,0.249972
175,0.986200,0.249972
176,0.986190,0.249972
177,0.986180,0.249972
178,0.986170,0.249972
179,0.986160,0.249972
180,0.986149,0.249972
181,0.986139,0.249972
182,0.986129,0.249972
183,0.986118,0.249972
184,0.986108,0.249972
185,0.986097,0.249972
186,0.986087,0.249972
187,0.986076,0.249972
188,0.986065,0.249972
189,0.986055,0.249972
190,0.986044,0.249972
191,0.986033,0.249972
192,0.986022,0.249972
193,0.986011,0.249972
194,0.986000,0.249972
195,0.985989,0.249972
196,0.985978,0.249972
197,0.985967,0.249972
198,0.985956,0.249972
199,0.985944,0.249972
200,0.985933,0.249972
201,0.985922,0.249972
202,0.985910,0.249972
203,0.985899,0.249972
204,0.985887,0.249972
205,0.985876,0.249972
206,0.985864,0.249972
207,0.985853,0.249972
208,0.985841,0.249972
209,0.985829,0.249972
210,0.985817,0.249972
211,0.985805,0.249972
212,0.985793,0.249972
213,0.985781,0.249972
214,0.985769,0.249972
215,0.985757,0.249972
216,0.985745,0.249972
217,0.985733,0.249972
218,0.985720,0.249972
219,0.985708,0.249972
220,0.985695,0.249972
221,0.985683,0.249972
222,0.985670,0.249972
223,0.985658,0.249972
224,0.985645,0.249972
225,0.985632,0.249972
226,0.985619,0.249972
227,0.985606,0.249972
228,0.985593,0.249972
229,0.985580,0.249972
230,0.985567,0.249972
231,0.985554,0.249972
232,0.985541,0.249972
233,0.985528,0.249972
234,0.985514,0.249972
235,0.985501,0.249972
236,0.985487,0.249972
237,0.985474,0.249972
238,0.985460,0.249972
239,0.985446,0.249972
240,0.985432,0.249972
241,0.985418,0.249972
242,0.985404,0.249972
243,0.985390,0.249972
244,0.985376,0.249972
245,0.985362,0.249972
246,0.985348,0.249972
247,0.985333,0.249972
248,0.985319,0.249972
249,0.985304,0.249972
250,0.985290,0.249972
251,0.985275,0.249972
252,0.985260,0.249972
253,0.985246,0.249972
254,0.985231,0.249972
255,0.985216,0.249972
256,0.985201,0.249972
257,0.985185,0.249972
258,0.985170,0.249972
259,0.985155,0.249972
260,0.985139,0.249972
261,0.985124,0.249972
262,0.985108,0.249972
263,0.985093,0.249972
264,0.985077,0.249972
265,0.985061,0.249972
266,0.985045,0.249972
267,0.985029,0.249972
268,0.985013,0.249972
269,0.984996,0.249972
270,0.984980,0.249972
271,0.984964,0.249972
272,0.984947,0.249972
273,0.984930,0.249972
274,0.984914,0.249972
275,0.984897,0.249972
276,0.984880,0.249972
277,0.984863,0.249972
278,0.984846,0.249972
279,0.984828,0.249972
280,0.984811,0.249972
281,0.984793,0.249972
282,0.984776,0.249972
283,0.984758,0.249972
284,0.984740,0.249972
285,0.984722,0.249972
286,0.984704,0.249972
287,0.984686,0.249972
288,0.984668,0.249972
289,0.984650,0.249972
290,0.984631,0.249972
